303,25.40,2540,Производство на въоръжение и боеприпаси,2540
637,50,50,Воден транспорт,50
304,25.5,255,Коване щамповане и валцуване на метал прахова металургия,255
305,25.50,2550,Коване щамповане и валцуване на метал прахова металургия,2550
306,25.6,256,Друго металообработване,256
307,25.61,2561,Повърхностно обработване и нанасяне на покритие върху метал,2561
308,25.62,2562,Механично обработване на метал,2562
309,25.7,257,Производство на кухненски прибори инструменти и железария,257
310,25.71,2571,Производство на кухненски прибори и ножарски изделия,2571
311,25.72,2572,Производство на строителен и мебелен обков,2572
312,25.73,2573,Производство на сечива и инструменти за ръчна работа,2573
313,25.9,259,Производство на други метални изделия,259
314,25.91,2591,Производство на варели и подобни съдове от стомана,2591
315,25.92,2592,Производство на леки опаковки от метал,2592
316,25.93,2593,Производство на изделия от тел вериги и пружини,2593
317,25.94,2594,Производство на свързващи елементи,2594
318,25.99,2599,Производство на други метални изделия некласифицирани другаде,2599
319,26,26,Производство на компютърна и комуникационна техника електронни и оптични продукти,26
320,26.1,261,Производство на електронни елементи и печатни платки,261
321,26.11,2611,Производство на електронни елементи,2611
322,26.12,2612,Производство на монтирани печатни платки,2612
323,26.2,262,Производство на компютърна техника,262
324,26.20,2620,Производство на компютърна техника,2620
325,26.3,263,Производство на радио  телевизионна и далекосъобщителна техника,263
326,26.30,2630,Производство на радио  телевизионна и далекосъобщителна техника,2630
327,26.4,264,Производство на битова електроника,264
328,26.40,2640,Производство на битова електроника,2640
329,26.5,265,Производство на уреди и апарати за измерване изпитване и навигация производство на часовници,265
330,26.51,2651,Производство на уреди и апарати за измерване изпитване и навигация,2651
331,26.52,2652,Производство на часовници и часовникови механизми,2652
332,26.6,266,Производство на излъчващи електромедицински и терапевтични апарати,266
333,26.60,2660,Производство на излъчващи електромедицински и терапевтични апарати,2660
334,26.7,267,Производство на оптични уреди и елементи и фотографска техника,267
335,26.70,2670,Производство на оптични уреди и елементи и фотографска техника,2670
336,26.8,268,Производство на магнитни и оптични носители незаписани,268
337,26.80,2680,Производство на магнитни и оптични носители незаписани,2680
338,27,27,Производство на електрически съоръжения,27
339,27.1,271,Производство на електрически двигатели генератори и  трансформатори и апарати за управление и разпределение,271
340,27.11,2711,Производство на електрически двигатели генератори и трансформатори,2711
341,27.12,2712,Производство на апарати за управление и разпределение на електрическа енергия,2712
342,27.2,272,Производство на акумулаторни батерии и акумулатори,272
343,27.20,2720,Производство на акумулаторни батерии и акумулатори,2720
344,27.3,273,Производство на изолирани проводници и електроинсталационни изделия,273
345,27.31,2731,Производство на кабели от оптични влакна,2731
